sentence_id,word_id,word,Olek,Kuba,Zgodne?,Stachu,final-annotation,
5,4,go,3,1,N,3,3,
5,5,dostałem,1,1,T,,1,
5,6,myślałem,1,1,T,,1,
5,7,że,3,3,T,,3,
5,8,go,3,1,N,1,1,
5,9,zrobili,0,1,N,0,0,
5,10,w,0,3,N,0,0,
5,11,Niemczech,0,1,N,0,0,
5,12,a,0,3,N,0,0,
5,13,tu,0,3,N,0,0,
5,14,Chiny,0,1,N,0,0,
5,15,Bardzo,1,1,T,,1,
5,16,dobra,2,2,T,,2,
5,17,jakość,2,1,N,2,2,
5,18,wykonania,2,1,N,2,2,
5,19,i,3,3,T,,3,
5,20,wszystko,2,1,N,1,1,
5,21,jest,2,3,N,3,3,
5,22,w,3,3,T,,3,
5,23,zestawie,1,1,T,,1,
5,24,co,3,3,T,,3,
5,25,potrzeba,1,1,T,,1,
5,26,do,3,3,T,,3,
5,27,zamontowania,1,1,T,,1,
5,28,go,3,1,N,3,3,
5,29,na,3,3,T,,3,
5,30,ścianie,1,1,T,,1,
5,31,i,3,3,T,,3,
5,32,przykręcenia,1,1,T,,1,
5,33,telewizora,1,1,T,,1,
5,34,Do,3,1,N,3,3,
5,35,40,1,3,N,3,3,
5,36,TV,1,1,T,,1,
5,37,też,3,3,T,,3,
5,38,super,2,2,T,,2,
5,39,pasuje,2,1,N,2,2,
5,40,tylko,1,3,N,1,1,
5,41,trzeba,1,1,T,,1,
5,42,sprawdzić,1,1,T,,1,
5,43,najpierw,1,1,T,,1,
5,44,tv,1,1,T,,1,
5,45,jaki,3,3,T,,3,
5,46,ma,1,1,T,,1,
5,47,rozstaw,1,1,T,,1,
5,48,vesaWygląda,1,1,T,,1,
5,49,też,3,3,T,,3,
5,50,super,2,2,T,,2,
5,51,Solidny,2,2,T,,2,
5,52,olecam,2,2,T,,2,
